id,sentence,type,label
jp_159,ldquothe interim decision that the high court of justice gave to immediately halt the yeshiva funding is a mark of cain and an unprecedented mistreatment of torah students in the land of the jews,pro-palestinian,2
bbc_154,the paper says conservative party sources believe foreign secretary lord david cameron has pushed for the government to harden its approach to israel but has been met with resistance from no 10,pro-palestinian,2
bbc_504, at the start of its operation in rafah on 6 may the idf told civilians to evacuate to an expanded humanitarian area stretching from the coastal almawasi area to deir albalah where it said they would find tents field hospitals and supplies,pro-palestinian,2
jp_432,we see our agriculture as one of the pillars that must be safeguarded,pro-israeli,1
bbc_342,governments around the world particularly large and powerful governments are there to protect their countrys interests,pro-israeli,1
jp_371,the location of four of the rockets is still under investigation,anti-palestinian,4
aj_230,videos of malnourished children show gazas forced starvation crisis starvation is getting worse in north gaza where 31 of children under the age of 2 are suffering from acute malnutrition a percentage which has doubled since january,anti-israeli,3
jp_90,a drought resulted and launched what was called the 8,anti-palestinian,4
bbc_474,police scotland says appropriate policing plans are in place to maintain public safety and minimise any disruption to the community,pro-israeli,1
jp_492,they repeated the same updated 2022 testimonies of palestinians not just relying on the 20152016 data who pulled back from terror at the last minute or turned in their kids to stop them from terror,neutral,0
bbc_327,mahmoud khalil one of the students who has been negotiating with columbia officials told the bbc that protesters believed it was highly probable that police would again be called in again,pro-palestinian,2
bbc_51,none of the three medics were made aware of any specific charges but two said interrogations focused on whether they had seen hostages or hamas fighters within the hospital,anti-palestinian,4
bbc_432,the doctor told him it was too late to administer it,neutral,0
bbc_353,also on monday harvard universitys president alan garber warned protesters must end the encampments on campus or face suspension,pro-palestinian,2
bbc_164,the us national security council said it welcomed the steps announced by israel which it said must now be fully and rapidly implemented,pro-israeli,1
bbc_398,the hamasaffiliated safa news agency reported that air and artillery strikes had caused widespread destruction in areas where the troops had advanced,anti-israeli,3
bbc_359,the flyer instructed all residents to evacuate immediately and head towards an approximately 60 sq km area stretching north along the mediterranean coast from almawasi  a narrow strip of agricultural land that has long been an idfdesignated humanitarian zone  to the city of khan younis and the central town of deir albalah,pro-palestinian,2
bbc_204,among them was briggen mohammad reza zahedi a senior commander of irans elite quds force in syria and lebanon,anti-israeli,3
nyt_146,a columbia task force would rather not say,anti-israeli,3
jp_547,since the vast majority of holocaust victims were ashkenazim only mizrahi police were allowed to guard eichmann and the movie focuses on haim yoav levi his moroccanborn main guard,pro-israeli,1
nyt_234, it would be tantamount to asking for quiet submission to systemic violence for anyone to call for peace now after years of israeli violence and military campaigns against palestinians,anti-israeli,3
bbc_450,hersh goldbergpolin gaza hostages parents urge him to stay strong after new video more than 200 university staff have signed an open letter in support of student propalestinian protesters,pro-palestinian,2
jp_46,ldquoin this state of sort of anarchy i think that arab gangs may be capable of throwing rockets from here against planes in ben gurionrdquo gavi added,anti-palestinian,4
bbc_138,the threes roles as security advisers were to ensure the aid convoy travelling in gaza followed safety procedures and remained on the correct route,pro-israeli,1
jp_558,and he is among those who have sold their consciences and their homeland at the cheapest of prices in return for aid for hezbollah to camouflage their image among their masters ignoring the general interest and your safety,pro-israeli,1
nyt_470,blinken on tuesdayheld talksin the region to press for its adoption,neutral,0
jp_358,nbspnbsp nbsp,neutral,0
bbc_118,the un security council is the only un body which can introduce measures to try to ensure compliance,pro-israeli,1
bbc_335,because of the danger  three reporters one from reuters and two from al mayadeen have been killed in strikes in south lebanon which their news organisations and lebanon have blamed on israel  the bbc team visited the border area with the un peacekeeping force unifil,anti-israeli,3
nyt_516,control over security in hebron is divided into two zones,pro-israeli,1
jp_591,minister ben gvir concluded his letter as he noted under these circumstances i urge you to act immediately and instruct the law enforcement system to fulfill its role at least with the same speed with which you send letters to me,anti-israeli,3
bbc_531,white house national security spokesperson john kirby said it was helpful that hamas had submitted a response and that us officials were evaluating the groups requests,pro-israeli,1
jp_572,kotlerman is a social entrepreneur and business development manager yehezkel is cofounder of the cybersecurity startup cynamics and amir is a technology expert,pro-israeli,1
jp_262,hamas has already renewed its threat of more rocket fire with regard to the flag march and there exists a real chance it could make good on its threat,anti-palestinian,4
nyt_107,yet the rising outcry against israel abroad appears not to have swayed the israeli public whose views on the countrys military campaign in gaza are largely different from those of the rest of the world,anti-israeli,3
bbc_516,mr kozlov a russian who moved to israel in 2022 and mr ziv had both been working as security guards at the festival when they were kidnapped,pro-israeli,1
jp_545,in the fevered atmosphere of the time bengurions overriding concern was security,pro-israeli,1
jp_69,during the traditional passover toasting ceremony of the sephardic house yahav revealed for the first time his intention to name a neighborhood in the city after us president joe biden,neutral,0
bbc_44,yeela cytrin a legal adviser at the israeli mission to the un responded that israel utterly rejects allegations that it is using starvation as a tool of war before walking out in protest,pro-palestinian,2
bbc_50, as the song was revealed golan 20 addressed the difficulty of representing israel at such a politically sensitive time,neutral,0
nyt_443,the unit known as the general security service relied on a network of gaza informants some of whom reported their own neighbors to the police,pro-israeli,1
bbc_15,israel said the tanks fired warning shots but did not strike the lorries and that many of the dead were trampled or run over,anti-palestinian,4
bbc_318, last month the un human rights chief volker turk accused israel of a potential war crime because of the food crisis in gaza,pro-palestinian,2
bbc_150,the mayor avichai stern showed me deserted districts and wrecked buildings,neutral,0
bbc_393,only scotland supporters club members or those who have gone to any of scotland womens past four home matches can buy tickets,pro-palestinian,2
jp_205,on a recent visit to his fatherrsquos grave he overheard a boy standing with his mother asking in relation to assi ldquoso what did he do,neutral,0
jp_138,gazawar gazaceasefire gazaholocaust gazahospital ldquo sictestimonies from the survivors and recordings taken from hamas have proven the atrocities that occurred during hamasrsquos october 7 invasion of israeli territory,anti-israeli,3
bbc_65,before the war it used to charge about 350 274 per person to go from gaza to egypt,neutral,0
jp_262,hamas fired seven rockets at jerusalem during the march thereby officially bringing it to a halt,anti-palestinian,4
jp_137,at least donrsquot talk about your commitment to the fighters and then come here and pass laws on order refusal and draft dodging,anti-palestinian,4
jp_91,today egypts relations with israel are tense particularly regarding the palestinian conflict and security remains strong at the sinai border,pro-israeli,1
bbc_255,palestinian media reported that there had been intense bombardment and fighting in and around nuseirat refugee camp where 11 members of the alnouri family were reportedly killed in a strike on their home on tuesday,anti-israeli,3
jp_15,rdquoconcerning strockrsquos religious zionist party siegel said ldquothey donrsquot deserve to run the country ndash if they think eliminating another terrorist is more important than bringing my father back home alive they should be ashamed,anti-israeli,3
bbc_216,iraqi security sources told reuters that projectiles were seen flying over iraq in the direction of israel,pro-israeli,1
jp_579,israeli decisionmakers and military strategists will need to take this into account in deciding how long this can go on for and how quickly they will need to either escalate with a ground offensive to reduce hamas rocket fire clearly the idfrsquos extensive bombing on tuesday did not succeed in that sufficiently or to find its way to a ceasefire more quickly and make new plans for the next round,anti-israeli,3
jp_72,according to iai the gcc system allows the company to present the conversion process in realtime to its customers both new and existing in a way that was not previously possible and with a degree of detail that was until recently considered impossible,neutral,0
bbc_373,the un also warned that food and fuel were running out for the more than one million still sheltering in the city because it was not receiving aid through nearby crossings,pro-israeli,1
bbc_344,relations were restored in 2016 but both countries expelled each others top diplomats two years later in a dispute over israels killing of palestinians amid protests on the gazaisrael border,pro-palestinian,2
nyt_82,bing guan for the new york times supported by byaruna dsouza when propalestinian student protesters took over hamilton hall at columbia university last month and renamed it hinds hall thebannerthey unfurled contained images of a cartoon character created over 50 years ago that symbolizes the resilience of palestinians,pro-palestinian,2
nyt_109,harris assailed the dire conditions in gaza calling the situation a humanitarian catastrophe,pro-palestinian,2
bbc_462,deadly incidents between egyptian and israeli troops are rare however,anti-israeli,3
bbc_145,the paper says ministers are planning to expand police powers to broaden testing further,neutral,0
jp_590,rdquopalestinians flee homes in gaza to escape idf bombings failed rocket launchessome 1,anti-palestinian,4
nyt_509,lourie andjonathan youngwood the president of the schools board of trustees did not immediately respond to requests for comment,neutral,0
bbc_425,the biden administration has been working on a possible deal that would include saudiisraeli normalisation and a commitment to pursuing a twostate solution for israel and the palestinians  the longheld international formula for peace,neutral,0
bbc_281,personally if i was policing that march i would have been inclined to have arrested him for assault on a police officer and breach of the peace,anti-israeli,3
jp_193,skyguard ngrsquos solution was examined in detail,pro-israeli,1
aj_556,protester at ucla this is not the end protester tells al jazeera this is not the end as police move in and make arrests at antigaza war demonstration at ucla,pro-palestinian,2
nyt_425,hezbollah fires more than 100 rockets into israel drawing retaliation,anti-palestinian,4
bbc_444,meanwhile the humanitarian situation in gaza continues to deteriorate,pro-palestinian,2
bbc_448,some classes switched to remote learning due to the new protest on thursday and los angeles police issued a citywide tactical alert according to ktlatv,pro-palestinian,2
aj_71,in a rare warning the us president threatens to halt some arms supplies if israel invades city in southern gaza,anti-palestinian,4
jp_492,part of what is interesting about that is that the years 20052014 ndash without house demolitions ndash were a much less violent time period than 20152023 has been with house demolitions,anti-palestinian,4
nyt_403,jones vowed on monday to help defeat mr,neutral,0
bbc_354,oxford universitys primary focus is the health and safety of the university community and to ensure any impact on work research and learning including student exams is minimised,pro-israeli,1
nyt_61,majed bamya the palestinian deputy ambassador to the united nationssaid in a post on xisraeli ministers are the only ones surprised of such a development list will be released next week after the killing and maiming of so many palestinian children,neutral,0
bbc_184,a car ploughed into crowds at the protest in tel aviv injuring five,pro-palestinian,2
bbc_294,there were similar reports from alshifa before the first israeli raid on the hospital took place in november,anti-israeli,3
nyt_234,in the past demonstrations were basically students protesting against the establishment and that was you know unidirectional and fairly straightforward the president of columbia minouche shafik said in late may in her first interview since december,pro-palestinian,2
bbc_297,the director of the united nations high commissioner for human rights office for the palestinian territories ajith sunghay told me there had to be an independent forensic investigation of the graves,pro-palestinian,2
bbc_228,in a phone call overnight us president joe biden reaffirmed to israeli prime minister benjamin netanyahu americas ironclad commitment to the security of israel but said the us would not support an israeli retaliation,pro-israeli,1
bbc_107,the decision to allow the latest ceasefire resolution through the security council shows that president biden has decided that strong words are not enough,pro-israeli,1
bbc_260,google said protesters were disrupting offices and were physically impeding other employees work and preventing them from accessing facilities,pro-palestinian,2
jp_66,the lebanese government slammed hezbollah for the launching of the drones which was done without the governmentrsquos consent,anti-palestinian,4
bbc_454,israel rejected the courts ruling and said its military offensive in gaza was in line with international law,anti-israeli,3
jp_259,gen amir haskel one of the leaders of the protests against the government spoke with ben caspit and prof,pro-palestinian,2
nyt_258,while concerns about a wider war remain both sides appear hamstrung in different ways that force restraint,anti-israeli,3
bbc_146,israels president isaac herzog faces gaza protest at dutch holocaust museum the family of a man killed in an israeli strike in gaza say they are utterly heartbroken,pro-palestinian,2
jp_420,ldquowersquove also been in touch with the israeli authorities to express our concerns over the impact his case has had on the shrinking humanitarian space in gazardquo it added,pro-palestinian,2
jp_280,historically pogroms are synonymous with jewish powerlessness,neutral,0
bbc_137,colleagues of mr sobol have posted comments on social media describing how he had taken part in delivering aid to ukrainian refugees following russias fullscale invasion of ukraine,anti-israeli,3
jp_352,it was a trap partially of israelrsquos own making due to not having a new government and having strategic planning concentrated in netanyahursquos office without checks and balances and broader security cabinet discussion,pro-israeli,1
jp_470,ldquojewish athletes worldwide are increasingly afraid to identify with israel,anti-israeli,3
jp_218,rdquo israel he added ldquois an enemy that only understands the language of force,anti-israeli,3
jp_276,gazabased terrorists control a number of social media accounts claiming to be israeli women in an attempt to catfish israelis and expose them to harm the shin bet israel security agency approved for publication on monday afternoon,pro-israeli,1
aj_125,,neutral,0
nyt_389,benari considered returning the real thing doubting his decision to join the newly formed civilian militia that had given him the weapon,neutral,0
jp_244,"nbsp
exactly 70 years ago on the eve of shavuot some 700 jews in the city were murdered in a naziled pogrom known as the farhud ldquoviolent dispossessionrdquo in arabic",anti-palestinian,4
jp_52,nbspldquoour work is reliant on being able to deliver the food to people in shelters she said,pro-israeli,1
bbc_256,newspaper headlines israels tragic error and labour probuilding bid qatar is reassessing its role as a mediator between israel and hamas the countrys prime minister has said,neutral,0
bbc_2,hamas which governs gaza accused israel of firing at civilians but israel said most had died in a stampede after it fired warning shots,anti-palestinian,4
jp_290,the post has learned that the idf is making special efforts to move forward with its new laser defense system but that this system is still not expected to be fully operational or make any significant difference in the current war,pro-israeli,1
jp_17,the union of journalists in israel called on sunday for the communications ministry to stop ldquohuntingrdquo arabicspeaking journalists after several were questioned while covering a protest in tel aviv last week,pro-palestinian,2
aj_484,,neutral,0
bbc_111,i can tell you that response was prepared before the un security council vote not after it,pro-israeli,1
jp_150,a leader of the palestinian security prisoners held in israeli jails was quoted on saturday as saying that a large number of inmates belonging to hamas and other palestinian factions would take part in the hunger strike,pro-israeli,1
jp_415,in sderot terrorists shot upon entry firing bullets at the streets targeting the police station in a battle that went on for hours into the night,anti-palestinian,4
jp_59,maya atilas of the gaza divisionrsquos border defense unit told the magazine about her oct,pro-israeli,1
nyt_59,israels military said after the strike on tuesday that it had not fired on that zone,anti-palestinian,4
bbc_128,that infuriates the thousands who blocked streets in jerusalem on sunday evening,neutral,0
bbc_9,much of the crowdfunding is being led by friends and relatives who live abroad and have looked on helplessly as israeli bombardment kills whole families and reduces neighbourhoods to rubble,anti-israeli,3
jp_352,this was a sophisticated planned operation in which up to 140 hamas rockets would be fired at once in massive barrages,anti-palestinian,4
jp_227,the pa is not opposed to mass demonstrations in the west bank in solidarity with the palestinian prisoners,pro-palestinian,2
bbc_75,then the counting comes to an end the few dozen protesters clear the road and the traffic moves on  something the families of the hostages cannot do,pro-palestinian,2
jp_528,some christian residents expressed fear that the protests in the refugee camps of dheisheh aida and jibrin ndash also known as alazza camp ndash might spread to their communities ruining christmas festivities that have already been badly affected since the outbreak of the coronavirus in march 2020,pro-palestinian,2
jp_137,otzma yehudit mk almog cohen who had retreated from threats that he would not vote with the coalition shook gallantrsquos hand and gave him a look of sympathy as the minister departed,anti-palestinian,4
nyt_56,subscribe,neutral,0
jp_551,"rsquordquo

the hashtag notinmyname and its arabic and hebrew counterparts have hundreds of posts and thousands of comments ndash some supportive others by extremists who posted death threats",anti-palestinian,4
jp_192,"nbsp
some of the protests were organized by supporters of exiled fatah leader mohammed dahlan an archrival of abbas",pro-palestinian,2
nyt_382,hamas would return the remains of hostages who had died,neutral,0
bbc_185,in the past week in jerusalem thousands of protestors waving israeli flags blocked streets around the parliament demanding the resignation of the prime minister and new elections,pro-palestinian,2
bbc_355,a senior palestinian official familiar with the proposal told the bbc that hamas had agreed to end hostile activity forever if the conditions were met,anti-palestinian,4
jp_46,amid these security concerns the cityscape of lod is marked by empty shops and neglected streets littered with trash signs of a community under strain,pro-israeli,1
aj_392,israeli prime minister benjamin netanyahu has dissolved his war cabinet after being pressured to add members,neutral,0
jp_277,and it is about high time that unrwa and other organizations call out hamas for what it is and start helping us save palestinians from the horrors of warfare and get them out of the battle zone provide them with international humanitarian aid and make sure that it doesnrsquot go into the wrong hands of hamas,pro-palestinian,2
bbc_156,jan egeland the secretarygeneral of the norwegian refugee council and a former un humanitarian chief told the bbc that wck was among those who have the closest cooperation with the israelis in terms of sharing information about their workers locations and planned movements,pro-palestinian,2
jp_479,rdquoerdan said kotharirsquos comments were ldquoa clear case in which a un official who clearly breached the principles of impartiality and neutrality required from a member of an hrc commission of inquiry used clear antisemitic vicious parlance and yet still maintains his position,neutral,0
bbc_5,hamas meanwhile said an israeli bombardment had killed at least 11 people at a camp in rafah in southern gaza on saturday,anti-israeli,3
jp_521,in the past week a wave of protests began in every district of the rebelheld idlib province in northwestern syria,pro-palestinian,2
jp_255,the operations failure blinded the idf in many respects said a security official,pro-israeli,1
nyt_437, farright elements of his governing coalition have threatened to bolt if mr,anti-palestinian,4
bbc_132,syrian air defences shot down some of the missiles they launched but others made it through and destroyed the entire building killing and injuring everyone inside the ministry added,anti-palestinian,4
bbc_508,mr thawabta rejected the idfs claims saying the occupation uses lying to the public opinion through false fabricated stories to justify the brutal crime it conducted against dozens of displaced people,anti-israeli,3
bbc_530,white house national security spokesperson john kirby said it was helpful that hamas had submitted a response and that us officials were evaluating the groups requests,pro-israeli,1
bbc_283, israels defence minister yoav gallant called on the us to withdraw its intention to sanction netzah yehuda saying the world was watching the ties between the us and israel more closely than ever,neutral,0
bbc_294,the head of the un human rights office for the palestinian territories also said he did not have solid evidence that bodies were found in the graves with their hands tied,pro-palestinian,2
bbc_526,fires in northern israel fuel demands to tackle escalation with hezbollah the united nations security council has voted to support a us resolution backing a ceasefire plan for the war in gaza,pro-israeli,1
bbc_469,but he stressed the court can play only a limited role in resolving the situation,neutral,0
jp_167,his third point sarsquoar said is that the war has to proceed at a quicker pace for the sake of israelrsquos economy its international standing and the looming threat of an allout war with hezbollah in the north,anti-palestinian,4
bbc_197,israelgaza war david cameron says bbc report into nasser hospital raid very disturbing organisers of the eurovision song contest have said that abuse and harassment of artists over israels participation in the competition is unacceptable and totally unfair,anti-israeli,3
